dataset,stratum_type,stratum,prompt_count,mean_persistence_error,mean_best_error,median_best_error,p75_best_error,mean_oracle_improvement,mean_oracle_error_reduction_ratio,helpful_candidate_available_rate,best_direction_match_rate,any_direction_match_rate,target_bracketed_rate,magnitude_cover_rate,multi_direction_rate,all_flat_rate,within_1pp_rate,within_2pp_rate,within_5pp_rate,within_10pp_rate,over_20pp_rate,mean_candidate_range,median_candidate_range,mean_candidate_range_fraction_of_market_move,median_best_delta_fraction_of_market_move_when_direction_match
heldout_test72,market_move_bin,medium,29,0.08968275862068965,0.07516206896551719,0.0658999999999999,0.0945999999999999,0.014520689655172413,0.1722342121956177,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.0,0.0,0.6551724137931034,0.13793103448275862,0.0,0.034482758620689655,0.2413793103448276,0.7586206896551724,0.0,0.044886206896551734,0.04999999999999993,0.5317996538164761,0.3530350014577942
heldout_test72,market_move_bin,small,3,0.042166666666666665,0.0338333333333333,0.035,0.04075,0.008333333333333366,0.20833333333333415,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.034999999999999996,0.045,0.875,0.3124999999999988
heldout_test72,gap_type,right_direction_under_update,38,0.21945526315789474,0.15231842105263152,0.10429999999999995,0.215075,0.06713684210526316,0.30706243081793244,1.0,1.0,1.0,0.0,0.0,0.9210526315789473,0.0,0.0,0.0,0.2631578947368421,0.5,0.2631578947368421,0.07936315789473683,0.04999999999999999,0.4616954258388303,0.2465090770159848
heldout_test72,gap_type,no_right_direction_candidate,22,0.1251863636363636,0.1293363636363636,0.11344999999999994,0.1725,-0.00415,-0.030678419520234368,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.4090909090909091,0.0,0.0,0.045454545454545456,0.4090909090909091,0.045454545454545456,0.041113636363636366,0.024449999999999958,0.38326596497995397,
heldout_test72,gap_type,near_hit,2,0.055249999999999994,0.01559999999999995,0.01559999999999995,0.017799999999999924,0.039650000000000046,0.670567375886526,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.059649999999999995,0.059649999999999995,1.1705673758865247,0.6705673758865242
heldout_test72,best_error_bin,over_20pp,11,0.378290909090909,0.3418454545454545,0.31,0.37005,0.036445454545454545,0.08257607541045205,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.06352727272727271,0.038500000000000006,0.15622363978291057,0.062466955097619487
heldout_test72,best_error_bin,within_5pp,11,0.1369181818181818,0.038090909090909036,0.0386999999999999,0.04214999999999995,0.09882727272727275,0.4913600555525859,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.08136363636363636,0.06000000000000005,0.7504796663550352,0.4916381952231972
heldout_test72,best_error_bin,within_20pp,21,0.1739904761904762,0.15316666666666665,0.1586,0.1815,0.020823809523809515,0.08100657284540647,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5714285714285714,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.06223333333333332,0.039999999999999925,0.3337779185358919,0.22667955534074397
heldout_test72,best_error_bin,within_10pp,17,0.10425294117647053,0.07280588235294112,0.0658999999999999,0.0835,0.03144705882352941,0.17523598066407778,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.0,0.5882352941176471,0.17647058823529413,0.0,0.0,0.0,1.0,0.0,0.0599764705882353,0.050000000000000044,0.5290120443919649,0.32377428307123035
heldout_test72,best_error_bin,within_2pp,2,0.055249999999999994,0.01559999999999995,0.01559999999999995,0.017799999999999924,0.039650000000000046,0.670567375886526,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.059649999999999995,0.059649999999999995,1.1705673758865247,0.6705673758865242
heldout_test72,bracket_status,all_above_target,27,0.1674148148148148,0.1405111111111111,0.0945999999999999,0.1884,0.026903703703703704,0.14531023722307354,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.0,0.0,0.6296296296296297,0.14814814814814814,0.0,0.037037037037037035,0.14814814814814814,0.5185185185185185,0.14814814814814814,0.08164814814814815,0.06,0.6032608993096974,0.3487250172294969
heldout_test72,bracket_status,all_below_target,35,0.19096285714285713,0.1391685714285714,0.1097,0.172,0.051794285714285716,0.2403201568110383,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,0.7428571428571429,0.14285714285714285,0.0,0.02857142857142857,0.2571428571428571,0.45714285714285713,0.2,0.05243142857142857,0.04000000000000001,0.343696225195593,0.24390243902439
heldout_test72,candidate_count,3,9,0.23188888888888892,0.182,0.1486,0.189,0.049888888888888885,0.23161564465106435,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.07870000000000002,0.05929999999999999,0.36801630753086784,0.2491157150075796
heldout_test72,candidate_count,5,43,0.18101395348837201,0.1379255813953488,0.1066,0.1863,0.043088372093023256,0.2000780962266206,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.0,0.0,0.6976744186046512,0.13953488372093023,0.0,0.023255813953488372,0.23255813953488372,0.4883720930232558,0.18604651162790697,0.06085581395348837,0.04689999999999994,0.46267736081727573,0.2542517006802719
heldout_test72,candidate_count,4,7,0.13505714285714285,0.10114285714285708,0.0835,0.09194999999999989,0.03391428571428575,0.2352404219721518,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0703714285714286,0.050000000000000044,0.5308132189353808,0.1861598440545809
heldout_test72,candidate_count,1,1,0.0562999999999999,0.0562999999999999,0.0562999999999999,0.0562999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
heldout_test72,candidate_count,2,2,0.1658,0.1658,0.1658,0.1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11094999999999998,0.11094999999999998,0.6972231738696251,
